RegionID,RegionName,StateName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
268777,West Highland,Colorado,739,395500,414200,426700,444900,450700,455900,453700,455200,464400,476900,481300,473000,485400,485100,482800,473800,479400,494500,522600,511700,519200,495500,529900,521100,479300,498000,511400,572200,541500,536900,525400,536100,566700,544000,546200,561900,599500,616900,575400,569300,557900,564900,581200,591900,577500,580300,581600,603800,560100,549000,538500,588100,589800,618700,614200,625000,617400,591800,571400,607300,605800,601700,579000
264122,Pinebrook,Florida,740,169300,171800,171700,171000,176300,198500,217200,204400,182300,161100,163400,178700,197000,200500,193500,182200,187700,182900,184800,182200,190900,185600,198000,197300,201000,186100,187500,191800,192300,186300,188200,192900,197400,206200,214600,221200,210700,189800,179800,178600,195300,207900,207700,220900,209300,226400,207200,207800,191400,202700,211500,216300,246600,277300,259200,219100,186000,216400,222200,231700,223400,219000,217000
272953,Beverly,Ohio,741,,,,,,,,,,,,,,76500,75900,82200,79800,88800,95400,98000,90000,85400,79700,84200,91100,95800,96300,97200,102000,98900,95500,95400,101200,103600,95200,90400,92300,101400,103800,97500,93900,97300,97400,97200,100100,110500,109700,109500,98400,108500,103900,107200,102200,105600,107400,101900,103400,107900,104900,96500,93700,110300,114000
763904,East Bench,Utah,742,164300,159000,159100,163600,160800,162700,168400,173500,165200,158200,158600,159500,167000,167200,171100,173900,174100,170200,164400,170200,183400,191100,184300,178800,196400,214900,219800,204200,192000,193100,198700,199700,198400,201100,209200,217500,213100,214600,212100,218200,225700,230700,226600,224500,225000,232200,225800,233100,233800,237200,230200,236700,242400,247500,244700,240700,237700,254600,266400,272600,255100,234900,239500
416890,Midtown West,California,743,140000,140700,154800,148300,160700,153800,155800,153000,163400,165800,164600,158000,156900,166000,170700,182000,170600,169000,166900,184500,188000,195100,201200,206000,209700,204600,197900,189400,192200,204800,215300,212200,207400,212300,210600,228000,227600,237900,226400,237200,239700,240300,232700,230100,241400,244300,244400,247100,249000,242300,232400,240000,257100,261500,271100,261800,262100,233200,239700,255800,267800,271800,
269216,Upper Eastside,Florida,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406200,415600,415600,398100,400200,411200,423000,398800,387900,391800,424900,404500,361200,383000,405100,432800,469400,463600,469000,358000,374300,416700,419800,447100,386200,460500,389500,445200,442200,487100,440400,454300
276372,Hickory Ridge,North Carolina,745,,,,,,,,,,,,,100900,98000,96900,104700,107800,110200,109100,117400,124200,122000,123400,118500,157500,139900,143900,105600,120600,114700,123900,132400,140600,138200,137600,138900,140900,144900,138500,144200,149000,166600,172600,154300,140400,137200,152700,156600,156000,155100,149700,150700,158700,167700,169400,165400,170700,163600,163600,147900,149200,146800,161500
13010,North Chelmsford,Massachusetts,746,229000,236000,247600,270100,292400,273200,296500,289300,278200,260600,255100,269200,282100,268300,259300,256500,260200,256000,233800,257900,262700,276600,275600,281500,286200,288900,278300,279700,256500,270600,268300,278800,280800,294900,288700,283200,271000,291100,302700,308500,323300,336500,324000,295600,281500,297800,307100,293300,286300,289400,319900,321300,306600,289500,309100,329700,324900,326900,320900,358400,335600,,
270177,Willard Hay,Minnesota,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155200,165000,163200,167900,160800,170300,170400,172800,184200,187600,188700,194900,213500,218500,199500,186900,186400,194000,183300,189000,200800,217200,196600,187700,158300
207740,Woodstock,Oregon,748,345600,353300,331500,323300,327800,346600,363000,376800,382500,389200,386000,381300,379200,377200,382500,392700,400500,399000,415800,415900,410800,398600,394100,412900,412800,377000,390000,372100,415000,393300,417500,421500,443500,440900,443100,417500,424200,425800,434400,432000,432200,432700,433500,429200,428900,458600,481500,491400,471500,449600,432200,420000,418800,420300,413600,425900,440300,451000,457300,448200,462600,463100,475600
